,file_number,host_ip,host_port,slab_buf_bytes,slab_partition,bandwidth,file_size_bytes,time_taken_sec,overall_cpu,overall_mem
138,138,10.0.0.50,5202,1073741824,4,673.78 Mb,104857600.0,1.245015,74.59204545454547,0.9022727272727266
139,139,10.0.0.50,5202,1073741824,4,626.30 Mb,104857600.0,1.339391,60.460227272727316,0.9306818181818172
140,140,10.0.0.50,5202,1073741824,4,650.20 Mb,104857600.0,1.290152,74.19886363636361,0.901136363636363
141,141,10.0.0.50,5202,1073741824,4,935.95 Mb,104857600.0,0.896262,72.1443181818182,0.9068181818181806
142,142,10.0.0.50,5202,1073741824,4,890.69 Mb,104857600.0,0.941805,73.35340909090914,0.8909090909090905
143,143,10.0.0.50,5202,1073741824,4,617.65 Mb,104857600.0,1.358144,58.68409090909095,0.944318181818181
144,144,10.0.0.50,5202,1073741824,4,601.30 Mb,104857600.0,1.395073,71.60568181818188,0.8988636363636356
145,145,10.0.0.50,5202,1073741824,4,610.39 Mb,104857600.0,1.374312,80.03068181818179,0.8522727272727271
146,146,10.0.0.50,5202,1073741824,4,914.32 Mb,104857600.0,0.917466,74.1909090909091,0.8761363636363634
147,147,10.0.0.50,5202,1073741824,4,603.47 Mb,104857600.0,1.39007,54.88068181818185,0.9965909090909083
148,148,10.0.0.50,5202,1073741824,4,1256.00 Mb,104857600.0,0.667885,73.9,0.8761363636363633
149,149,10.0.0.50,5202,1073741824,4,595.24 Mb,104857600.0,1.409286,54.38522727272731,1.010227272727272
150,150,10.0.0.50,5202,1073741824,4,645.81 Mb,104857600.0,1.298934,58.55795454545459,0.9613636363636356
151,151,10.0.0.50,5202,1073741824,4,602.45 Mb,104857600.0,1.392412,72.92500000000001,0.8931818181818176
152,152,10.0.0.50,5202,1073741824,4,607.17 Mb,104857600.0,1.38158,55.087500000000084,0.955681818181817
153,153,10.0.0.50,5202,1073741824,4,1041.73 Mb,104857600.0,0.805254,72.8045454545455,0.897727272727272
154,154,10.0.0.50,5202,1073741824,4,653.66 Mb,104857600.0,1.283334,60.62386363636369,0.9431818181818173
155,155,10.0.0.50,5202,1073741824,4,1216.07 Mb,104857600.0,0.689815,60.946590909090965,0.9329545454545447
156,156,10.0.0.50,5202,1073741824,4,605.81 Mb,104857600.0,1.384692,59.83181818181825,0.9295454545454533
157,157,10.0.0.50,5202,1073741824,4,1216.35 Mb,104857600.0,0.689654,76.2965909090909,0.898863636363636
158,158,10.0.0.50,5202,1073741824,4,886.51 Mb,104857600.0,0.946256,59.925,0.9261363636363623
159,159,10.0.0.50,5202,1073741824,4,603.27 Mb,104857600.0,1.390528,63.71363636363637,0.9159090909090902
160,160,10.0.0.50,5202,1073741824,4,903.33 Mb,104857600.0,0.928629,70.76022727272722,0.9113636363636356
161,161,10.0.0.50,5202,1073741824,4,793.49 Mb,104857600.0,1.057177,61.96250000000002,0.9193181818181807
162,162,10.0.0.50,5202,1073741824,4,755.86 Mb,104857600.0,1.10981,67.86477272727278,0.913636363636363
163,163,10.0.0.50,5202,1073741824,4,883.50 Mb,104857600.0,0.949472,76.20227272727269,0.8943181818181813
164,164,10.0.0.50,5202,1073741824,4,603.80 Mb,104857600.0,1.389295,67.99772727272729,0.9170454545454537
165,165,10.0.0.50,5202,1073741824,4,950.21 Mb,104857600.0,0.882819,70.34545454545459,0.9136363636363629
166,166,10.0.0.50,5202,1073741824,4,648.73 Mb,104857600.0,1.293084,59.180681818181895,0.9409090909090899
167,167,10.0.0.50,5202,1073741824,4,606.54 Mb,104857600.0,1.38302,62.40227272727279,0.9295454545454536
168,168,10.0.0.50,5202,1073741824,4,598.54 Mb,104857600.0,1.401502,67.00454545454548,0.9193181818181809
169,169,10.0.0.50,5202,1073741824,4,1231.63 Mb,104857600.0,0.6811,73.67727272727274,0.906818181818181
170,170,10.0.0.50,5202,1073741824,4,637.84 Mb,104857600.0,1.315161,71.07613636363638,0.9068181818181812
171,171,10.0.0.50,5202,1073741824,4,627.11 Mb,104857600.0,1.337651,72.94431818181823,0.898863636363636
172,172,10.0.0.50,5202,1073741824,4,1145.04 Mb,104857600.0,0.732605,56.853409090909096,0.9534090909090897
173,173,10.0.0.50,5202,1073741824,4,640.95 Mb,104857600.0,1.308783,60.14772727272732,0.9261363636363629
174,174,10.0.0.50,5202,1073741824,4,600.74 Mb,104857600.0,1.396385,61.70909090909099,0.9238636363636353
175,175,10.0.0.50,5202,1073741824,4,605.93 Mb,104857600.0,1.384427,72.47272727272731,0.9034090909090904
176,176,10.0.0.50,5202,1073741824,4,603.98 Mb,104857600.0,1.388887,77.27954545454551,0.8784090909090906
177,177,10.0.0.50,5202,1073741824,4,634.72 Mb,104857600.0,1.321621,56.97727272727274,0.9454545454545447
178,178,10.0.0.50,5202,1073741824,4,1149.90 Mb,104857600.0,0.729505,60.722727272727305,0.9318181818181809
179,179,10.0.0.50,5202,1073741824,4,1134.17 Mb,104857600.0,0.739623,62.97500000000005,0.9102272727272719
180,180,10.0.0.50,5202,1073741824,4,791.84 Mb,104857600.0,1.059378,65.30227272727275,0.9136363636363629
181,181,10.0.0.50,5202,1073741824,4,604.57 Mb,104857600.0,1.38753,67.26818181818184,0.9193181818181814
182,182,10.0.0.50,5202,1073741824,4,605.98 Mb,104857600.0,1.384308,68.96477272727277,0.9136363636363629
183,183,10.0.0.50,5202,1073741824,4,620.55 Mb,104857600.0,1.35181,65.36363636363639,0.9079545454545453
184,184,10.0.0.50,5202,1073741824,4,932.32 Mb,104857600.0,0.899756,67.38977272727276,0.9136363636363632
